user_id,email,password,name,avatar,role
d63133a3-6c20-4a49-ae1b-9bf61ef3271a,customer1@email.com,password123,Customer 1,https://placekitten.com/200/215,customer
f5f02984-78e3-4c11-83cf-7694b907d9fe,customer2@email.com,password456,Customer 2,https://placekitten.com/200/216,customer
3e5b1ed1-5125-4eb9-a06c-0f672d33fe69,admin1@email.com,adminpass,Admin 1,https://placekitten.com/200/217,admin
832130e2-778d-4c1b-aa32-c3f89e1d5a25,customer3@email.com,Customer 3,password789,https://placekitten.com/200/218,customer
e9b43210-06d7-4e5a-8c05-7466752cfb2a,customer4@email.com,Customer 4,passwordabc,https://placekitten.com/200/219,customer
7f64a63f-51a2-4b8b-8d0e-2c889327f5b7,admin2@email.com,adminadmin,Admin 2,https://placekitten.com/200/220,admin
c61a3a09-7f0d-4ef4-90c8-384b168e7274,customer5@email.com,passworddef,Customer 5,https://placekitten.com/200/221,customer
27ecde99-5c98-4967-9ae7-16e0cc95021e,customer6@email.com,passwordghi,Customer 6,https://placekitten.com/200/222,customer
4f0c6d4b-8f2c-43bf-a5cf-1904e9fca122,admin3@email.com,adminadminadmin,Admin 3,https://placekitten.com/200/223,admin
bb9e432c-b8d4-4d9c-a4a9-937b02ed3e78,customer7@email.com,passwordjkl,Customer 7,https://placekitten.com/200/224,customer
